Security|Industry|Sub-Industry|State
Ameriprise Financial|Financials|Asset Management & Custody Banks|Minneapolis, Minnesota
Ametek|Industrials|Electrical Components & Equipment|Berwyn, Pennsylvania
Amgen|Health Care|Biotechnology|Thousand Oaks, California
Amphenol|Information Technology|Electronic Components|Wallingford, Connecticut
Analog Devices|Information Technology|Semiconductors|Wilmington, Massachusetts
Ansys|Information Technology|Application Software|Canonsburg, Pennsylvania
Aon|Financials|Insurance Brokers|London, UK
APA Corporation|Energy|Oil & Gas Exploration & Production|Houston, Texas
Apple  |Information Technology|Technology Hardware, Storage & Peripherals|Cupertino, California
Applied Materials|Information Technology|Semiconductor Materials & Equipment|Santa Clara, California
Aptiv|Consumer Discretionary|Automotive Parts & Equipment|Dublin, Ireland
Arch Capital Group|Financials|Property & Casualty Insurance|Hamilton, Bermuda
Archer Daniels Midland|Consumer Staples|Agricultural Products & Services|Chicago, Illinois
Arista Networks|Information Technology|Communications Equipment|Santa Clara, California
Arthur J. Gallagher & Co.|Financials|Insurance Brokers|Rolling Meadows, Illinois
Assurant|Financials|Multi-line Insurance|Atlanta, Georgia
AT&T|Communication Services|Integrated Telecommunication Services|Dallas, Texas
Atmos Energy|Utilities|Gas Utilities|Dallas, Texas
Autodesk|Information Technology|Application Software|San Francisco, California
Automatic Data Processing|Industrials|Human Resource & Employment Services|Roseland, New Jersey
AutoZone|Consumer Discretionary|Automotive Retail|Memphis, Tennessee
AvalonBay Communities|Real Estate|Multi-Family Residential REITs|Arlington, Virginia
Avery Dennison|Materials|Paper & Plastic Packaging Products & Materials|Mentor, Ohio
Axon Enterprise|Industrials|Aerospace & Defense|Scottsdale, Arizona
Baker Hughes|Energy|Oil & Gas Equipment & Services|Houston, Texas
Ball Corporation|Materials|Metal, Glass & Plastic Containers|Broomfield, Colorado
Bank of America|Financials|Diversified Banks|Charlotte, North Carolina
Baxter International|Health Care|Health Care Equipment|Deerfield, Illinois
Becton Dickinson|Health Care|Health Care Equipment|Franklin Lakes, New Jersey
Berkshire Hathaway|Financials|Multi-Sector Holdings|Omaha, Nebraska
Best Buy|Consumer Discretionary|Computer & Electronics Retail|Richfield, Minnesota
Bio-Techne|Health Care|Life Sciences Tools & Services|Minneapolis, Minnesota
Biogen|Health Care|Biotechnology|Cambridge, Massachusetts
BlackRock|Financials|Asset Management & Custody Banks|New York City, New York
Blackstone  |Financials|Asset Management & Custody Banks|New York City, New York
BNY Mellon|Financials|Asset Management & Custody Banks|New York City, New York
Boeing|Industrials|Aerospace & Defense|Arlington, Virginia
Booking Holdings|Consumer Discretionary|Hotels, Resorts & Cruise Lines|Norwalk, Connecticut
BorgWarner|Consumer Discretionary|Automotive Parts & Equipment|Auburn Hills, Michigan
Boston Scientific|Health Care|Health Care Equipment|Marlborough, Massachusetts
Bristol Myers Squibb|Health Care|Pharmaceuticals|New York City, New York
Broadcom|Information Technology|Semiconductors|Palo Alto, California
Broadridge Financial Solutions|Industrials|Data Processing & Outsourced Services|Lake Success, New York
Brown & Brown|Financials|Insurance Brokers|Daytona Beach, Florida
Brown–Forman|Consumer Staples|Distillers & Vintners|Louisville, Kentucky
Builders FirstSource|Industrials|Building Products|Irving, Texas
Bunge Global|Consumer Staples|Agricultural Products & Services|Chesterfield, Missouri
BXP,  |Real Estate|Office REITs|Boston, Massachusetts
C.H. Robinson|Industrials|Air Freight & Logistics|Eden Prairie, Minnesota
Cadence Design Systems|Information Technology|Application Software|San Jose, California
Caesars Entertainment|Consumer Discretionary|Casinos & Gaming|Reno, Nevada
Camden Property Trust|Real Estate|Multi-Family Residential REITs|Houston, Texas
Campbell Soup Company|Consumer Staples|Packaged Foods & Meats|Camden, New Jersey
Capital One|Financials|Consumer Finance|Tysons Corner, Virginia
Cardinal Health|Health Care|Health Care Distributors|Dublin, Ohio
CarMax|Consumer Discretionary|Automotive Retail|Richmond, Virginia
Carnival|Consumer Discretionary|Hotels, Resorts & Cruise Lines|Miami, Florida
Carrier Global|Industrials|Building Products|Palm Beach Gardens, Florida
Catalent|Health Care|Pharmaceuticals|Somerset, New Jersey
Caterpillar  |Industrials|Construction Machinery & Heavy Transportation Equipment|Irving, Texas
Cboe Global Markets|Financials|Financial Exchanges & Data|Chicago, Illinois
CBRE Group|Real Estate|Real Estate Services|Dallas, Texas
CDW|Information Technology|Technology Distributors|Vernon Hills, Illinois
Celanese|Materials|Specialty Chemicals|Irving, Texas
Cencora|Health Care|Health Care Distributors|Conshohocken, Pennsylvania
Centene Corporation|Health Care|Managed Health Care|St. Louis, Missouri
CenterPoint Energy|Utilities|Multi-Utilities|Houston, Texas
CF Industries|Materials|Fertilizers & Agricultural Chemicals|Deerfield, Illinois
Charles River Laboratories|Health Care|Life Sciences Tools & Services|Wilmington, Massachusetts
Charles Schwab Corporation|Financials|Investment Banking & Brokerage|Westlake, Texas
Charter Communications|Communication Services|Cable & Satellite|Stamford, Connecticut
Chevron Corporation|Energy|Integrated Oil & Gas|San Ramon, California
Chipotle Mexican Grill|Consumer Discretionary|Restaurants|Newport Beach, California
Chubb Limited|Financials|Property & Casualty Insurance|Zurich, Switzerland
Church & Dwight|Consumer Staples|Household Products|Ewing, New Jersey
Cigna|Health Care|Health Care Services|Bloomfield, Connecticut
Cincinnati Financial|Financials|Property & Casualty Insurance|Fairfield, Ohio
Cintas|Industrials|Diversified Support Services|Mason, Ohio
Cisco|Information Technology|Communications Equipment|San Jose, California
Citigroup|Financials|Diversified Banks|New York City, New York
Citizens Financial Group|Financials|Regional Banks|Providence, Rhode Island
Clorox|Consumer Staples|Household Products|Oakland, California
CME Group|Financials|Financial Exchanges & Data|Chicago, Illinois
CMS Energy|Utilities|Multi-Utilities|Jackson, Michigan
Coca-Cola Company |Consumer Staples|Soft Drinks & Non-alcoholic Beverages|Atlanta, Georgia
Cognizant|Information Technology|IT Consulting & Other Services|Teaneck, New Jersey
Colgate-Palmolive|Consumer Staples|Household Products|New York City, New York
Comcast|Communication Services|Cable & Satellite|Philadelphia, Pennsylvania
Conagra Brands|Consumer Staples|Packaged Foods & Meats|Chicago, Illinois
ConocoPhillips|Energy|Oil & Gas Exploration & Production|Houston, Texas
Consolidated Edison|Utilities|Multi-Utilities|New York City, New York
Constellation Brands|Consumer Staples|Distillers & Vintners|Rochester, New York
Constellation Energy|Utilities|Electric Utilities|Baltimore, Maryland
Cooper Companies |Health Care|Health Care Supplies|San Ramon, California
Copart|Industrials|Diversified Support Services|Dallas, Texas
Corning  |Information Technology|Electronic Components|Corning, New York
Corpay|Financials|Transaction & Payment Processing Services|Atlanta, Georgia
Corteva|Materials|Fertilizers & Agricultural Chemicals|Indianapolis, Indiana
CoStar Group|Real Estate|Real Estate Services|Washington, D.C.
Costco|Consumer Staples|Consumer Staples Merchandise Retail|Issaquah, Washington
Coterra|Energy|Oil & Gas Exploration & Production|Houston, Texas
CrowdStrike|Information Technology|Systems Software|Austin, Texas
Crown Castle|Real Estate|Telecom Tower REITs|Houston, Texas
CSX Corporation|Industrials|Rail Transportation|Jacksonville, Florida
Cummins|Industrials|Construction Machinery & Heavy Transportation Equipment|Columbus, Indiana
CVS Health|Health Care|Health Care Services|Woonsocket, Rhode Island
Danaher Corporation|Health Care|Life Sciences Tools & Services|Washington, D.C.
Darden Restaurants|Consumer Discretionary|Restaurants|Orlando, Florida
DaVita|Health Care|Health Care Services|Denver, Colorado
Dayforce|Industrials|Human Resource & Employment Services|Minneapolis, Minnesota
Deckers Brands|Consumer Discretionary|Footwear|Goleta, California
Deere & Company|Industrials|Agricultural & Farm Machinery|Moline, Illinois
Dell Technologies|Information Technology|Technology Hardware, Storage & Peripherals|Round Rock, Texas
Delta Air Lines|Industrials|Passenger Airlines|Atlanta, Georgia
